PLACE|LONGITUDE|LATITUDE|COUNT
https://www.wikidata.org/wiki/Q871356|14.79889|46.59|120
https://www.wikidata.org/wiki/Q70|7.44743|46.94798|120
https://www.wikidata.org/wiki/Q185541|11.65|46.71667|120
https://www.wikidata.org/wiki/Q521148|7.590833|50.23139|120
https://www.wikidata.org/wiki/Q546459|12.6|49.16667|120
https://www.wikidata.org/wiki/Q546|13.80417|45.63611|60
https://www.wikidata.org/wiki/Q14950|8.883333|49.25|60
https://www.wikidata.org/wiki/Q1010|15.63333|46.55|60
https://www.wikidata.org/wiki/Q502681|9.264444|49.70389|60
https://www.wikidata.org/wiki/Q509536|12.6913|48.6749|60
https://www.wikidata.org/wiki/Q4178|8.5|50.56667|60
https://www.wikidata.org/wiki/Q503160|11.42778|47.91333|60
https://www.wikidata.org/wiki/Q162022|4.466667|51.01667|60
https://www.wikidata.org/wiki/Q7052|8.123056|49.19944|60
https://www.wikidata.org/wiki/Q178582|14.01667|48.15|60
https://www.wikidata.org/wiki/Q3085|9.216667|48.48333|60
https://www.wikidata.org/wiki/Q534476|7.820278|50.66139|60
https://www.wikidata.org/wiki/Q490665|10.94639|50.83417|60
https://www.wikidata.org/wiki/Q193719|12.374|50.07976|60
https://www.wikidata.org/wiki/Q4037|9.8|48.8|60
https://www.wikidata.org/wiki/Q225909|12.5|48.63333|60
https://www.wikidata.org/wiki/Q125652|11.18333|48.73333|60
https://www.wikidata.org/wiki/Q14859|10.58333|49.3|60
https://www.wikidata.org/wiki/Q82960|8.624722|48.16806|60
https://www.wikidata.org/wiki/Q275193|8.120069|50.025|60
https://www.wikidata.org/wiki/Q131128|13.03333|48.25833|60
https://www.wikidata.org/wiki/Q278447|15.06667|48.16667|60
https://www.wikidata.org/wiki/Q61912|9.516669|49.75|60
https://www.wikidata.org/wiki/Q16015|8.850556|48.27306|60
https://www.wikidata.org/wiki/Q37776|6.021389|47.24222|60
https://www.wikidata.org/wiki/Q90|2.351389|48.85694|60
https://www.wikidata.org/wiki/Q16069|9.788611|48.09806|60
https://www.wikidata.org/wiki/Q4007|12.12889|47.85611|60
https://www.wikidata.org/wiki/Q15917|15.57073|46.39414|60
